22841-22834-MA0000517,adult_old,MPATH458, skin 133A
Probe Array Lot: 2006849
Operator Name: ec
Sample Type: 
Sample Description: 
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:169, Count:32
Corner- Avg:9762, Count:32
BF= Alpha1=0.05 Alpha2=0.065 Tau=0.015 Gamma1H=0.0045 Gamma1L=0.0045 Gamma2H=0.006 Gamma2L=0.006 Perturbation=1.1 TGT=2500 NF=1.000000 SF=15.616271 SFGene=All 
Background=Avg:80.00,Stdev:2.49,Max:87.7,Min:75.2 Noise=Avg:4.99,Stdev:0.45,Max:6.6,Min:4.1 RawQ=3.25 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
AFFX-BioB-5_at	20	20	1505.0	P	0.004017																															
AFFX-BioB-M_at	20	20	3281.9	P	0.000225																															
AFFX-BioB-3_at	20	20	1228.9	P	0.012547																															
AFFX-BioC-5_at	20	20	3450.8	P	0.000258																															
AFFX-BioC-3_at	20	20	2793.1	P	0.000169																															
AFFX-BioDn-5_at	20	20	3824.7	P	0.000070																															
AFFX-BioDn-3_at	20	20	22924.6	P	0.000147																															
AFFX-CreX-5_at	20	20	36387.0	P	0.000044																															
AFFX-CreX-3_at	20	20	56280.7	P	0.000044																															
AFFX-DapX-5_at	20	20	22.1	A	0.712257																															
AFFX-DapX-M_at	20	20	286.2	A	0.327079																															
AFFX-DapX-3_at	20	20	23.9	A	0.957038																															
AFFX-LysX-5_at	20	20	70.3	A	0.645547																															
AFFX-LysX-M_at	20	20	79.9	A	0.724854																															
AFFX-LysX-3_at	20	20	45.0	A	0.559354																															
AFFX-PheX-5_at	20	20	41.5	A	0.824672																															
AFFX-PheX-M_at	20	20	20.0	A	0.949771																															
AFFX-PheX-3_at	20	20	80.8	A	0.737173																															
AFFX-ThrX-5_at	20	20	43.7	A	0.783476																															
AFFX-ThrX-M_at	20	20	99.6	A	0.603080																															
AFFX-ThrX-3_at	20	20	50.5	A	0.921998																															
AFFX-TrpnX-5_at	20	20	36.1	A	0.603080																															
AFFX-TrpnX-M_at	20	20	28.0	A	0.966323																															
AFFX-TrpnX-3_at	20	20	13.8	A	0.921998																															
AFFX-HUMISGF3A/M97935_5_at	20	20	148.2	A	0.300606																															
AFFX-HUMISGF3A/M97935_MA_at	20	20	983.6	A	0.300606																															
AFFX-HUMISGF3A/M97935_MB_at	20	20	961.2	P	0.001410																															
AFFX-HUMISGF3A/M97935_3_at	20	20	5484.5	P	0.000147																															
AFFX-HUMRGE/M10098_5_at	20	20	52.2	A	0.927300																															
AFFX-HUMRGE/M10098_M_at	20	20	30.6	A	0.989683																															
AFFX-HUMRGE/M10098_3_at	20	20	97.5	A	0.783476																															
AFFX-HUMGAPDH/M33197_5_at	20	20	72733.1	P	0.000044																															
AFFX-HUMGAPDH/M33197_M_at	20	20	71902.9	P	0.000044																															
AFFX-HUMGAPDH/M33197_3_at	20	20	64168.5	P	0.000044																															
AFFX-HSAC07/X00351_5_at	20	20	51515.1	P	0.000052																															
AFFX-HSAC07/X00351_M_at	20	20	83789.6	P	0.000044																															
AFFX-HSAC07/X00351_3_at	20	20	81372.2	P	0.000044																															
AFFX-M27830_5_at	20	20	831.2	P	0.042962																															
AFFX-M27830_M_at	20	20	947.4	A	0.396920																															
AFFX-M27830_3_at	20	20	515.2	A	0.514890																															
AFFX-hum_alu_at	69	69	133882.3	P	0.000000																															
AFFX-r2-Ec-bioB-5_at	11	11	1440.1	P	0.000244																															
AFFX-r2-Ec-bioB-M_at	11	11	2747.0	P	0.000244																															
AFFX-r2-Ec-bioB-3_at	11	11	1569.5	P	0.000244																															
AFFX-r2-Ec-bioC-5_at	11	11	4461.0	P	0.000244																															
AFFX-r2-Ec-bioC-3_at	11	11	5349.0	P	0.000244																															
AFFX-r2-Ec-bioD-5_at	11	11	17256.6	P	0.000244																															
AFFX-r2-Ec-bioD-3_at	11	11	17547.5	P	0.000244																															
AFFX-r2-P1-cre-5_at	11	11	77121.8	P	0.000244																															
AFFX-r2-P1-cre-3_at	11	11	86021.8	P	0.000244																															
AFFX-r2-Bs-dap-5_at	11	11	15.6	A	0.991943																															
AFFX-r2-Bs-dap-M_at	11	11	10.0	A	0.969727																															
AFFX-r2-Bs-dap-3_at	11	11	6.8	A	0.904785																															
AFFX-r2-Bs-lys-5_at	11	11	112.2	A	0.303711																															
AFFX-r2-Bs-lys-M_at	11	11	21.5	A	0.919434																															
AFFX-r2-Bs-lys-3_at	11	11	266.3	A	0.171387																															
AFFX-r2-Bs-phe-5_at	11	11	257.2	A	0.366211																															
AFFX-r2-Bs-phe-M_at	11	11	158.7	A	0.567627																															
AFFX-r2-Bs-phe-3_at	11	11	205.7	A	0.500000																															
AFFX-r2-Bs-thr-3_s_at	11	11	58.5	A	0.932373																															
AFFX-r2-Bs-thr-M_s_at	11	11	253.9	A	0.567627																															
AFFX-r2-Bs-thr-5_s_at	11	11	914.0	P	0.010742																															
AFFX-r2-Hs18SrRNA-3_s_at	11	11	249.0	A	0.567627																															
AFFX-r2-Hs18SrRNA-M_x_at	11	11	116.1	A	0.725830																															
AFFX-r2-Hs18SrRNA-5_at	11	11	81.0	A	0.953857																															
AFFX-r2-Hs28SrRNA-3_at	11	11	102.3	A	0.432373																															
AFFX-r2-Hs28SrRNA-M_at	11	11	971.2	A	0.149658																															
AFFX-r2-Hs28SrRNA-5_at	11	11	55.2	A	0.932373																															
200000_s_at	11	11	8894.6	P	0.000244																															
200001_at	11	11	18014.2	P	0.000732																															
200002_at	11	11	73886.0	P	0.000244																															
200003_s_at	11	11	97950.3	P	0.000244																															
200004_at	11	11	31475.1	P	0.000244																															
200005_at	11	11	32809.9	P	0.000244																															
200006_at	11	11	35274.7	P	0.000244																															
200007_at	11	11	34658.2	P	0.000244																															
200008_s_at	11	11	17944.5	P	0.000244																															
200009_at	11	11	39067.6	P	0.000244																															
200010_at	11	11	78666.3	P	0.000244																															
200011_s_at	11	11	10025.9	P	0.000244																															
200012_x_at	11	11	84490.4	P	0.000244																															
200013_at	11	11	78269.1	P	0.000244																															
200014_s_at	11	11	10547.5	P	0.000244																															
200015_s_at	11	11	18954.5	P	0.000732																															
200016_x_at	11	11	86027.3	P	0.000244																															
200017_at	11	11	88929.3	P	0.000244																															
200018_at	11	11	90842.2	P	0.000244																															
200019_s_at	11	11	67185.3	P	0.000244																															
200020_at	11	11	12943.9	P	0.000244																															
200021_at	11	11	75627.5	P	0.001953																															
200022_at	11	11	105087.1	P	0.000244																															
200023_s_at	11	11	29621.2	P	0.000244																															
200024_at	11	11	81495.8	P	0.000244																															
200025_s_at	11	11	87104.4	P	0.000244																															
200026_at	11	11	107760.3	P	0.000732																															
200027_at	11	11	17424.4	P	0.000244																															
200028_s_at	11	11	14814.0	P	0.000244																															
200029_at	11	11	93082.5	P	0.000244																															
200030_s_at	11	11	63227.1	P	0.000244																															
200031_s_at	11	11	116097.2	P	0.000244																															
200032_s_at	11	11	97295.2	P	0.000244																															
200033_at	11	11	29670.5	P	0.000244																															
200034_s_at	11	11	61890.1	P	0.000244																															
200035_at	11	11	3724.0	P	0.002930																															
200036_s_at	11	11	82286.3	P	0.000244																															
200037_s_at	11	11	15380.1	P	0.000244																															
200038_s_at	11	11	82915.8	P	0.000244																															
