21470-21452-fetal,normal,MA0000216 spinal column 133B
Probe Array Lot: 
Operator Name: ec
Sample Type: 
Sample Description: 
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:97, Count:32
Corner- Avg:8712, Count:32
BF= Alpha1=0.05 Alpha2=0.065 Tau=0.015 Gamma1H=0.0045 Gamma1L=0.0045 Gamma2H=0.006 Gamma2L=0.006 Perturbation=1.1 TGT=2500 NF=1.000000 SF=24.506239 SFGene=All 
Background=Avg:66.33,Stdev:2.48,Max:76.0,Min:61.5 Noise=Avg:3.49,Stdev:0.25,Max:4.3,Min:2.9 RawQ=2.67 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
AFFX-BioB-5_at	20	20	1793.0	P	0.006187																															
AFFX-BioB-M_at	20	20	5086.8	P	0.000127																															
AFFX-BioB-3_at	20	20	1391.3	P	0.030976																															
AFFX-BioC-5_at	20	20	5808.8	P	0.000110																															
AFFX-BioC-3_at	20	20	4499.8	P	0.000070																															
AFFX-BioDn-5_at	20	20	6375.8	P	0.000081																															
AFFX-BioDn-3_at	20	20	33770.0	P	0.000446																															
AFFX-CreX-5_at	20	20	63289.2	P	0.000044																															
AFFX-CreX-3_at	20	20	94494.0	P	0.000044																															
AFFX-DapX-5_at	20	20	54.3	A	0.544587																															
AFFX-DapX-M_at	20	20	278.0	A	0.368438																															
AFFX-DapX-3_at	20	20	53.4	A	0.897835																															
AFFX-LysX-5_at	20	20	229.6	A	0.368438																															
AFFX-LysX-M_at	20	20	370.6	A	0.470241																															
AFFX-LysX-3_at	20	20	138.7	A	0.354453																															
AFFX-PheX-5_at	20	20	15.8	A	0.949771																															
AFFX-PheX-M_at	20	20	18.7	A	0.969024																															
AFFX-PheX-3_at	20	20	226.4	A	0.760937																															
AFFX-ThrX-5_at	20	20	321.0	A	0.559354																															
